customer_id,trans_date,tran_amount
CS5295,02-11-2013,35
CS4768,03-15-2015,39
CS2122,02-26-2013,52
CS1217,11-16-2011,99
CS1850,11-20-2013,78
CS5539,03-26-2014,81
CS2724,02-06-2012,93
CS5902,01-30-2015,89
CS6040,01-08-2013,76
CS3802,08-20-2013,75
CS3494,07-02-2013,94
CS3780,03-25-2013,80
CS1171,11-03-2012,59
CS2892,05-12-2013,43
CS5552,12-29-2014,78
CS6043,01-15-2014,98
CS4147,07-08-2013,81
CS4655,12-30-2013,93
CS3904,07-20-2014,103
CS4102,07-09-2011,96
CS2086,03-05-2013,75
CS6085,01-09-2013,49
CS1328,02-06-2013,54
CS4564,03-27-2012,48
CS5910,01-01-2012,98
CS2748,03-23-2013,37
CS5147,04-29-2013,72
CS1770,11-02-2012,83
CS3510,10-24-2011,81
CS2509,12-05-2011,105
CS2859,02-27-2015,77
CS1512,02-21-2015,71
CS4148,08-22-2013,48
CS1735,03-31-2012,70
CS1588,01-27-2012,70
CS5514,01-09-2013,36
CS5933,10-07-2013,48
CS2797,03-06-2014,87
CS5313,12-02-2012,88
CS5966,03-09-2012,39
CS5211,05-18-2014,51
CS1511,01-13-2015,47
CS6087,11-24-2014,37
CS5909,02-04-2012,80
CS2845,03-08-2013,105
CS1433,11-05-2012,78
CS4897,04-12-2014,45
CS2296,12-28-2012,79
CS1494,06-29-2013,59
CS3688,06-19-2014,55
CS2287,12-23-2011,94
CS3779,06-26-2011,69
CS1423,06-05-2014,78
CS2501,11-14-2012,59
CS3434,02-22-2013,98
CS2662,08-31-2014,88
CS2209,03-12-2012,35
CS4530,06-05-2011,40
CS2848,02-04-2013,53
CS2596,09-19-2011,55
CS4421,05-20-2012,86
CS4905,04-13-2012,93
CS5704,12-04-2011,79
CS2403,07-27-2014,94
CS5480,01-28-2012,63
CS5811,08-23-2013,91
CS2051,12-09-2014,101
CS3957,08-30-2012,69
CS4704,11-25-2014,41
CS2289,05-19-2012,67
CS5218,06-21-2014,45
CS4637,05-20-2011,71
CS3158,05-06-2012,91
CS4176,07-30-2012,49
CS1939,11-25-2011,101
CS5403,12-01-2011,64
CS5489,12-02-2014,77
CS4563,05-30-2011,101
CS3508,05-23-2012,67
CS2703,10-12-2014,40
CS2596,05-01-2013,76
CS5990,10-19-2012,103
CS4215,07-09-2011,54
CS4811,01-26-2012,77
CS2070,01-30-2013,41
CS3419,01-29-2015,38
CS3668,08-14-2014,102
CS4623,09-27-2013,89
CS4708,07-02-2013,48
CS1816,09-22-2013,64
CS5376,12-08-2013,44
CS4568,11-15-2011,70
CS1779,01-27-2012,53
CS2447,07-10-2011,82
CS1985,08-16-2011,87
CS2544,11-07-2011,64
CS2158,09-11-2012,89
CS5776,09-09-2014,87
CS5653,09-04-2013,98
CS2291,10-15-2014,67
CS6088,10-29-2012,48
CS4245,06-02-2014,102
CS3344,07-02-2014,56
CS1481,12-23-2013,50
CS5400,12-23-2011,56
CS5463,08-27-2014,91
CS5951,08-07-2014,104
CS5515,02-19-2012,41
CS3039,05-01-2012,92
CS1836,03-24-2012,63
CS4320,04-09-2014,52
CS4889,12-01-2011,38
CS1319,09-26-2011,95
CS4859,01-07-2015,50
CS4148,02-08-2014,40
CS5264,04-03-2013,81
CS4041,12-29-2014,49
CS2183,01-04-2013,39
CS2516,02-15-2015,55
CS1890,11-03-2012,37
CS3730,02-11-2013,89
CS5382,03-07-2013,48
CS5970,06-13-2014,40
CS5260,01-30-2015,46
CS2437,11-13-2011,90
CS4675,09-11-2011,67
CS2920,10-11-2011,87
CS2548,09-28-2013,73
CS1818,12-26-2011,46
CS6098,09-28-2012,42
CS2712,12-26-2011,65
CS2714,12-14-2011,69
CS2615,08-17-2013,39
CS5445,07-27-2014,72
